Category,Name,Description / Ingredients,Price
Salate,Auberginen-Tomaten Salat,"Auberginen, Cherrytomaten, Rucola, Süß Chili Soße","€9,90"
Salate,Ceasar Salat,"Hühnerfleisch, Cherrytomaten, Eis Salat, Knoblauch, Zwieback, Wachteleier","€12,90"
Salate,Rindfleischsalat,"Rindfleisch, Paprika, Gurken, Knoblauch, Soja Soße, Koriander","€12,90"
Salate,Paprika Salat,"Paprika, Tomaten, Gurken, Kartoffeln, Auberginen, Petersilien","€9,90"
Salate,Mozzarella Salat,"Tomaten, Mozzarella, Rucola","€7,90"
Salate,Griechischer Salat,"Tomaten, Gurken, Zwiebeln, Schafkäse, Oliven","€7,90"
Salate,Avocado Mozzarella Salat,"Avocado, Cherrytomaten, Mozzarella","€7,90"
Salate,Hausgemachte Soleny Salat,"Gurken, Tomaten, Kraut","€9,90"
Salate,Oliviersalat,"Kartoffeln, Karotten, Wurst, Eier, Erbsen, Gurke, Mayonnaise","€9,90"
Salate,Vinegret,"Kartoffeln, Rote Beete, Karotten, Zwiebeln, Salzgurken","€9,90"
Salate,Wurst mit Käse,"Wurst, Käse, Mais, Mayonnaise","€9,90"
Salate,Frischer Salat,"Tomaten, Gurken, Zwiebeln","€6,90"
Suppen,Lagman,"Rote Paprika, Grüne Paprika, Sellerie, Fleisch, Zwiebeln, Petersilie, Knoblauch, Nudeln","€9,90"
Suppen,Mastava,"Rindfleisch, Lammkuryuk, Reis, Paprika, Karotten, Kartoffeln, Koriander, Tomaten","€9,90"
Suppen,Hühnersuppe,"Hühnerfleisch, Karotten, Gewürze, Fadennudeln","€5,90"
Suppen,Shurpa,"Rindfleisch, Zwiebeln, Karotten, Kartoffeln, Paprika, Gewürze","€8,90"
Speisen,Samarkand Plov,"Reis, Rindfleisch, Karotten, Zwiebeln, Erbsen, Getrocknete Trauben. Mit Frischsalat und Brot serviert","€19,90"
Speisen,"Manti (4 Stück, mit Fleisch)","Rindfleisch, Zwiebeln, Gewürze, Lammkuryuk Fett","€14,90"
Speisen,"Manti (4 Stück, vegetarisch)","Zucchini, Kartoffel, Zwiebel, Gewürze","€12,90"
Speisen,"Samsa (4 Stück, mit Fleisch)","Rindfleisch, Zwiebeln, Gewürze, Kuyruk Fett","€14,90"
Speisen,"Samsa (4 Stück, vegetarisch)","Zucchini, Kartoffel, Zwiebel, Gewürze","€12,90"
Speisen,Pelmeni,Teigtasche mit faschiertem Fleisch und Zwiebel,"€13,90"
Grill (Kohlegrill),Lyula,"Faschiertes Rindfleisch, Zwiebel, Gewürze, mit Tomatensauce und Pommes serviert","€19,90"
Grill (Kohlegrill),Lamm Schaschlik,"Lammspieß, Gewürze, mit Tomatensauce und Pommes serviert","€22,90"
Grill (Kohlegrill),Hühnerflügel,"Hühnerflügel, Gewürze, mit Tomatensauce und Pommes serviert","€18,90"
Grill (Kohlegrill),Hühnerfleisch Pargiyot,"Hühnerfleisch, Gewürze, mit Tomatensauce und Pommes serviert","€19,90"
Grill (Kohlegrill),Lammrippchen,"Lammrippchen, Gewürze, mit Tomatensauce und Pommes serviert","€22,90"
Grill (Kohlegrill),Lammkotelett,"Lammkotelett, Gewürze, mit Tomatensauce und Pommes serviert","€24,90"
Grill (Kohlegrill),Napoleon,"Geschnittenes Rindfleisch, Lammkuryuk Fett, Gewürze, mit Tomatensauce und Pommes serviert","€24,90"
Grill (Kohlegrill),Shaschlik Rulet,"Geschnittenes Rindfleisch, Lammkuryuk Fett, Gewürze, mit Tomatensauce und Pommes serviert","€23,90"
Grillplatte,Mixed Grillplatte,"2 Lyula, 1 Rulet, 1 Napoleon, 1 Hühnerflügel, 1 Pargiyot, 1 Lammfleisch, 2 Stück Lammkoteletts, 1 Lammrippen – serviert mit Tomatensauce und Pommes","€79,90"
Beilagen,Brot,"Teig, Milch, Wasser, Sesam","€4,50"
Beilagen,Pommes (Wedges),-,"€4,90"
Desserts,Napoleon,Blätterteigtorte mit Buttercreme,"€6,50"
Desserts,Baklava,"Honig, Walnüssen und süßen Rosinen","€4,90"
Desserts,Medovik,Honigkuchen mit Schmand Creme,"€4,90"
Getränke,Softdrinks (0.33L),"Coca Cola / Zero / Light, Fanta, Eistee Zitrone, Eistee Pfirsich, Almdudler","€3,20"
Getränke,Mineralwasser (0.33L),Römerquelle Still / Prickelnd,"€2,90"
Getränke,Soda / Saft (0.5L),"Himbeer-Zitrone Soda, Johannisbeer-Zitrone, Soda Sodazitron, Apfelsaft gespritzt, Orangensaft gespritzt","€3,90"
Getränke,Heiße Getränke (1L),"Grüner Tee Kanne, Schwarzer Tee Kanne, Minz Tee Kanne","€3,50"
Getränke,Hausgemachte Getränke (0.5L / 1L),"Hausgemachte Ayran, Hausgemachte Kompot","€5,90 / €9,90"
Getränke,Andere Tees (1L),"Früchte Tee Kanne, Schwarzer Tee mit Zitrone (süß)","€5,50"
Getränke,Importgetränke (0.5L),"Duschyes Zedazeni, Tarchun Zedazeni, Borjomi","€5,90"
